citing_id,cited_id
9,10
9,101
9,660
9,1067
9,1357
9,1375
9,1377
9,1379
9,1381
9,1383
9,1401
9,1421
9,1425
9,1441
9,1443
9,1445
9,1449
9,1451
9,1454
9,1456
9,1458
9,1460
9,1462
9,1464
9,1465
9,1468
9,1470
9,1473
9,2950
9,2952
9,2956
9,2958
9,2961
9,2964
9,2966
9,2968
9,2970
9,2973
9,2975
9,2977
9,2979
9,2981
9,2986
9,2990
9,2992
9,2994
9,2996
9,2998
9,3000
9,3002
9,3004
9,3006
9,3008
9,3010
9,3012
9,3016
9,3019
9,3021
9,3024
9,3026
9,3028
9,3030
9,3032
9,3034
9,3036
10,1427
10,1447
10,1451
10,1458
10,1470
10,1478
10,1480
10,1482
10,1485
10,1487
10,1489
10,1491
10,3104
10,3106
10,3108
10,3111
10,3115
10,3117
10,3120
10,3122
10,3124
10,3127
10,3129
10,3131
10,3133
10,3136
10,3138
10,3140
10,3142
10,3144
10,3146
10,3148
10,3150
10,3152
10,3154
10,3157
10,3159
10,3161
10,3163
10,3165
10,3167
10,3169
10,3171
10,3173
10,3176
10,3178
10,3180
10,3183
10,3185
38,40
38,114
38,627
39,38
39,40
39,41
39,43
39,46
39,97
39,104
39,114
39,118
39,119
39,123
39,150
39,269
39,281
39,569
39,849
39,995
39,11156
39,11434
39,12797
39,13409
40,306
40,11425
46,38
46,40
46,43
46,70
46,114
46,119
46,281
46,706
46,1062
49,65
49,152
49,205
49,223
49,1354
49,1359
49,3587
49,3829
49,11558
49,11849
51,38
51,39
51,40
51,41
51,56
51,89
51,133
51,176
51,242
51,266
54,81
54,85
54,134
54,289
54,308
54,699
54,903
54,1369
54,1791
54,3861
54,5599
54,11261
54,11290
54,11295
54,12267
54,12336
54,13050
54,13347
54,13587
54,13702
54,13882
54,13887
54,13900
54,13902
54,13945
54,13947
54,13949
54,13950
54,13951
54,13986
54,13990
54,13995
54,13998
54,14027
54,14033
54,14034
54,14059
54,14067
54,14069
58,38
58,114
58,119
58,242
58,476
58,569
58,967
58,14017
59,101
59,127
59,521
59,965
59,1381
59,1408
59,1417
59,1524
59,2064
59,3845
59,3850
59,3865
59,3894
59,10608
59,11130
59,12858
59,13122
60,45
60,170
60,219
60,334
60,2297
64,205
64,1354
64,1377
64,1391
64,1419
64,1827
64,2240
65,10
65,44
65,101
65,125
65,209
65,518
65,771
65,950
65,962
65,1354
65,1377
65,1381
65,1389
65,1404
65,1417
65,1421
65,1427
65,1449
65,1510
65,1785
65,1893
65,2054
65,3146
65,3291
65,3299
65,3336
65,3345
65,3372
65,3424
65,3426
65,3452
65,3461
65,3493
65,3511
65,3543
65,3568
65,3574
65,3587
65,3591
65,3608
65,3619
65,3623
65,3835
65,3865
65,11963
65,13789
67,1352
67,1354
67,1359
67,1404
67,1706
67,1746
67,2017
67,3432
67,3835
67,11333
68,38
68,40
68,41
68,46
68,119
68,210
69,38
69,40
69,43
69,46
69,89
69,104
69,114
69,119
69,132
69,181
69,210
69,247
69,281
69,286
69,477
69,516
69,1062
69,11148
69,11617
69,13588
70,38
70,40
70,43
70,46
70,119
70,157
70,210
70,306
70,11319
70,11425
71,41
71,43
71,68
71,70
71,113
71,203
71,230
71,13299
72,1419
72,1781
72,3831
73,54
73,65
73,85
73,294
73,315
73,648
73,892
73,1014
73,1071
73,1462
73,1746
73,1781
73,1785
73,1808
73,1853
73,1912
73,3539
73,3633
73,10608
73,11414
73,12563
73,12684
73,13912
74,38
74,40
74,41
74,43
74,56
74,71
74,89
74,90
74,113
74,181
74,264
74,269
74,366
74,872
74,11667
75,194
76,10
76,44
76,101
76,125
76,209
76,396
76,910
76,1354
76,1359
76,1363
76,1375
76,1379
76,1383
76,1404
76,1423
76,1427
76,1430
76,1433
76,1443
76,1449
76,1456
76,1460
76,1462
76,1464
76,1465
76,1473
76,1478
76,1480
76,1482
76,1485
76,1487
76,1489
76,1493
76,1495
76,1498
76,1500
76,1502
76,1504
76,1506
76,1508
76,1510
76,3146
76,3165
76,3334
76,3336
76,3338
76,3341
76,3343
76,3345
76,3347
76,3351
76,3353
76,3355
76,3357
76,3361
76,3364
76,3366
76,3368
76,3370
76,3372
76,3375
76,3377
76,3379
76,3381
76,3383
76,3385
76,3389
76,3391
76,3397
76,3399
76,3405
76,3409
76,3411
76,3413
76,3415
76,3417
76,3420
76,3422
76,3424
76,3426
76,3430
76,3432
76,3434
76,3436
76,3442
76,3444
76,3446
76,3448
76,3450
76,3452
76,3454
76,3457
76,3461
76,3463
76,3465
76,3467
76,3470
76,3481
76,3483
76,3485
76,3487
76,3489
76,3491
76,3493
76,3495
76,3497
76,3500
76,3504
76,3506
76,3509
76,3511
76,3513
76,3515
76,3517
76,3519
76,3522
76,3524
76,3526
76,3529
76,3533
76,3535
76,3537
76,3539
76,3541
76,3543
76,3545
76,3547
76,3554
76,3557
76,3559
76,3562
76,3564
76,3566
76,3570
76,3572
76,3574
76,3576
76,3578
76,3587
76,3589
76,3591
76,3595
76,3597
76,3601
76,3603
76,3606
76,3608
76,3610
76,3615
76,3617
76,3619
76,3623
76,3625
76,3631
76,3633
76,3638
76,11527
76,11849
76,13127
76,13384
76,14012
76,14554
77,38
77,40
77,41
77,43
77,46
77,119
77,157
77,210
77,281
77,573
77,11781
77,12200
77,12690
78,42
78,59
78,127
78,237
78,270
78,324
78,483
78,919
78,1387
78,2064
78,3587
78,11142
78,11174
78,11496
78,12091
78,12370
78,13509
78,14330
81,134
81,289
81,308
81,312
81,423
81,1035
81,1369
81,1510
81,1893
81,3281
81,3314
81,3383
81,3448
81,3463
81,3533
81,3562
81,3564
81,5599
81,11261
81,12125
81,12926
81,13050
81,13882
81,13887
81,13891
81,13947
81,13949
81,14001
81,14057
81,14062
81,14067
81,14069
81,14420
84,422
84,827
84,869
84,1524
84,1526
84,1914
84,2054
84,2236
84,3728
84,3775
84,3850
85,205
85,259
85,287
85,312
85,385
85,522
85,613
85,660
85,712
85,906
85,1026
85,1064
85,1401
85,1421
85,1515
85,1526
85,1728
85,1746
85,1993
85,2054
85,2485
85,2495
85,3281
85,3291
85,3299
85,3301
85,3309
85,3314
85,3448
85,5599
85,11386
85,11992
85,13882
85,13887
85,13985
85,13998
85,14011
85,14060
86,13380
92,101
92,205
92,284
92,422
92,660
92,949
92,962
92,1377
92,1379
92,1401
92,1406
92,1465
92,1744
92,1881
92,1960
92,2185
92,2979
92,11615
92,13562
95,863
95,1706
95,1746
96,275
96,11446
96,11447
96,11988
97,38
97,41
97,43
97,46
97,104
97,114
97,849
97,12736
98,205
98,223
98,1377
98,1430
98,13309
98,13593
101,1066
101,1375
101,1417
101,1421
101,1425
101,1816
101,2094
101,2098
101,2116
101,2141
101,2185
101,2200
101,2491
101,2521
101,2970
101,3124
101,3136
101,3140
101,3152
101,3154
101,3163
101,3183
101,3338
101,3415
101,3463
101,13384
102,205
102,1359
104,38
104,41
104,43
104,46
104,97
104,114
104,849
104,12736
105,39
105,40
105,41
105,106
105,243
105,247
108,38
108,40
108,41
108,43
108,157
108,210
108,247
108,627
110,38
110,39
110,41
110,123
110,133
110,140
110,439
110,515
110,519
110,635
110,11535
110,12377
112,38
112,43
112,56
112,68
112,71
112,88
112,89
112,110
112,122
112,133
112,439
113,40
113,133
113,266
114,40
116,38
116,42
116,43
116,49
116,73
116,90
116,101
116,112
116,121
116,144
116,147
116,169
116,251
116,252
116,287
116,358
116,407
116,489
116,560
116,665
116,699
116,716
116,774
116,855
116,879
116,958
116,1047
116,1070
116,1515
116,1825
116,11277
116,11397
116,11470
116,11487
116,11502
116,11608
116,11740
116,11922
116,12070
116,12129
116,12209
116,12313
116,12478
116,12518
116,12659
116,12680
116,12724
116,13167
116,13194
116,13198
116,13291
116,13414
116,13567
116,13598
116,13811
116,13902
116,14204
116,14430
117,45
117,47
117,60
117,170
118,38
118,40
118,46
119,40
120,38
120,40
120,46
120,119
120,123
120,150
120,157
120,210
120,281
120,306
120,706
120,1062
120,11139
120,11281
120,11330
120,11425
122,38
122,41
122,56
122,89
122,113
122,133
122,230
122,269
122,439
123,11319
126,152
126,161
126,287
126,670
126,712
126,772
126,1024
126,1064
126,1354
126,1404
126,1746
126,1751
126,1781
126,3320
126,3606
126,3810
126,11333
126,12799
126,12952
126,14620
127,10
