paper_id,cluster_id,cluster_label,umap_x,umap_y
3514,0,Shared Medium Coordination,63.6493,80.2820
3536,0,Shared Medium Coordination,48.3415,76.6162
3550,0,Shared Medium Coordination,57.3009,44.7351
3574,0,Shared Medium Coordination,51.0735,58.8881
3579,0,Shared Medium Coordination,48.7295,75.0037
3591,0,Shared Medium Coordination,47.6322,59.5094
3660,0,Shared Medium Coordination,55.5120,72.6480
3675,0,Shared Medium Coordination,55.8263,77.2130
3711,0,Shared Medium Coordination,55.8279,72.1085
3787,0,Shared Medium Coordination,50.6415,83.6206
3807,0,Shared Medium Coordination,46.9812,78.6249
3828,0,Shared Medium Coordination,48.8813,77.8279
3838,0,Shared Medium Coordination,55.2578,78.3368
3844,0,Shared Medium Coordination,46.8247,74.3299
3860,0,Shared Medium Coordination,44.9409,77.7283
3871,0,Shared Medium Coordination,58.6390,46.6994
3881,0,Shared Medium Coordination,47.1538,59.5235
3992,0,Shared Medium Coordination,49.5310,78.1952
4054,0,Shared Medium Coordination,50.1460,80.0232
4089,0,Shared Medium Coordination,50.5277,78.1468
4116,0,Shared Medium Coordination,50.4947,82.1966
4126,0,Shared Medium Coordination,44.0455,74.3284
4162,0,Shared Medium Coordination,50.4876,79.2695
4177,0,Shared Medium Coordination,55.0605,72.6849
4178,0,Shared Medium Coordination,50.6171,73.0946
4183,0,Shared Medium Coordination,47.0743,76.2764
4190,0,Shared Medium Coordination,47.2060,76.8152
4196,0,Shared Medium Coordination,49.3240,81.9005
4198,0,Shared Medium Coordination,51.3011,79.2407
4200,0,Shared Medium Coordination,52.6016,67.2441
4204,0,Shared Medium Coordination,47.3877,79.7576
4206,0,Shared Medium Coordination,54.3455,79.7266
4237,0,Shared Medium Coordination,54.2704,72.6692
4273,0,Shared Medium Coordination,49.6529,82.6910
4310,0,Shared Medium Coordination,50.2393,72.6213
4331,0,Shared Medium Coordination,48.6430,81.3958
4341,0,Shared Medium Coordination,40.3736,72.5096
4346,0,Shared Medium Coordination,51.4233,75.1376
4347,0,Shared Medium Coordination,57.9686,78.8394
4352,0,Shared Medium Coordination,48.8127,72.4504
4364,0,Shared Medium Coordination,59.9601,85.0460
4386,0,Shared Medium Coordination,52.0554,70.6297
4399,0,Shared Medium Coordination,53.9142,72.4292
4405,0,Shared Medium Coordination,50.8150,87.4029
4410,0,Shared Medium Coordination,44.8375,75.7446
4419,0,Shared Medium Coordination,54.9296,71.4903
4421,0,Shared Medium Coordination,57.4850,80.2163
4427,0,Shared Medium Coordination,52.0067,70.0006
4453,0,Shared Medium Coordination,54.9610,76.2994
4455,0,Shared Medium Coordination,56.8929,73.0224
4465,0,Shared Medium Coordination,47.7816,77.0669
4486,0,Shared Medium Coordination,55.6224,71.1123
4487,0,Shared Medium Coordination,50.6067,71.4683
4503,0,Shared Medium Coordination,54.5892,78.1211
4524,0,Shared Medium Coordination,44.0042,75.3659
4525,0,Shared Medium Coordination,52.3749,72.6832
4611,0,Shared Medium Coordination,52.7993,72.6197
4632,0,Shared Medium Coordination,48.9970,73.4171
4659,0,Shared Medium Coordination,85.7653,53.7954
4678,0,Shared Medium Coordination,45.6636,76.8965
4692,0,Shared Medium Coordination,52.6694,82.7454
4706,0,Shared Medium Coordination,48.5181,71.6781
4712,0,Shared Medium Coordination,52.8522,82.6339
4755,0,Shared Medium Coordination,53.2906,71.6520
4782,0,Shared Medium Coordination,54.4713,82.8771
4785,0,Shared Medium Coordination,52.3896,76.6190
4810,0,Shared Medium Coordination,54.8282,78.6703
4853,0,Shared Medium Coordination,37.6328,55.4000
4865,0,Shared Medium Coordination,57.1243,68.4973
4885,0,Shared Medium Coordination,54.9942,71.5250
4888,0,Shared Medium Coordination,54.1841,84.0936
4907,0,Shared Medium Coordination,59.4632,79.5142
4944,0,Shared Medium Coordination,53.5640,79.9216
4972,0,Shared Medium Coordination,51.2674,77.0828
4986,0,Shared Medium Coordination,50.6150,74.2913
5000,0,Shared Medium Coordination,48.3166,77.0104
5004,0,Shared Medium Coordination,51.3140,80.4297
5023,0,Shared Medium Coordination,54.7635,79.1910
5028,0,Shared Medium Coordination,51.4826,81.8044
5079,0,Shared Medium Coordination,51.3007,75.4423
5119,0,Shared Medium Coordination,69.3465,75.9431
5158,0,Shared Medium Coordination,51.7092,79.5924
5177,0,Shared Medium Coordination,49.0467,78.2774
5197,0,Shared Medium Coordination,50.1089,81.0727
5207,0,Shared Medium Coordination,49.7177,84.1193
5228,0,Shared Medium Coordination,52.4081,78.0704
5288,0,Shared Medium Coordination,53.5946,81.1342
5299,0,Shared Medium Coordination,52.9855,76.3481
